name,url
Географічний факультет,/ua/departments/geography/
Економічний факультет,/ua/departments/economics/
Історичний факультет,/ua/departments/history/
Механіко-математичний факультет,/ua/departments/mm/
Факультет інформаційних технологій,/ua/departments/it/
Факультет комп'ютерних наук та кібернетики,/ua/departments/csc/
Факультет психології,/ua/departments/psychology/
"Факультет радіофізики, електроніки та комп’ютерних систем",/ua/departments/recs/
Факультет соціології,/ua/departments/sociology/
Фізичний факультет,/ua/departments/physics/
Філософський факультет,/ua/departments/philosophy/
Хімічний факультет,/ua/departments/chemistry/
Військовий інститут,/ua/departments/military/
Інститут післядипломної освіти,/ua/departments/ce/
Iнститут Управлiння державної охорони України,/ua/departments/msgu/
Навчально-науковий інститут високих технологій,/ua/departments/ht/
"Навчально-науковий інститут ""Інститут геології""",/ua/departments/geology/
Навчально-науковий інститут журналістики,/ua/departments/journalism/
Навчально-науковий інститут  міжнародних відносин,/ua/departments/ir/
Навчально-науковий інститут права,/ua/departments/law/
Навчально-науковий інститут філології,/ua/departments/philology/
Навчально-науковий інститут публічного управління та державної служби,/ua/departments/ipacs/
"Навчально-науковий центр ""Інститут біології та медицини""",/ua/departments/bm/
"ВСП ""Фаховий коледж геологорозвідувальних технологій""",/ua/departments/gpt/
"ВСП ""Оптико-механічний фаховий коледж""",/ua/departments/om/
Український фiзико-математичний лiцей,/ua/departments/upml/
Підготовче відділення для громадян України,/ua/departments/pd/
Підготовче відділення для іноземних громадян,/ua/departments/pdff/
Видавничо-поліграфічний центр «Київський університет»,http://vpc.univ.kiev.ua/
Молодіжний центр культурно-естетичного виховання,/ua/dep/molod-center/
Навчально-науковий центр радіаційної безпеки,http://rb.univ.kiev.ua/
Навчально-науковий центр рекреації та туризму КНУ імені Тараса Шевченка,http://www.chaika.univ.kiev.ua/
Науково-консультаційний центр,http://scc.univ.kiev.ua/
Центр iноземних мов,/ua/departments/ucfl/
Центр комунікацій,/ua/departments/dc/
Центр українознавства,http://uaznavstvo.univ.kiev.ua/
Астрономiчна обсерваторiя,http://www.observ.univ.kiev.ua
Бухгалтерія,http://knu.ua/ua/departments/accounting
Відділ академічної мобільності,http://knu.ua/ua/dep/academic-mobile
Відділ внутрішнього аудиту,http://knu.ua/ua/dep/ica
Відділ забезпечення якості освіти,http://knu.ua/ua/departments/eqad
Відділ міжнародних зв’язків,http://international.knu.ua
Відділ аспірантури та докторантури,http://asp.knu.ua
Інститут психіатрії,http://knu.ua/ua/departments/psychiatry
Кафедра фізичного виховання та спорту,http://sport.univ.kiev.ua
Навчальна лабораторія соціологічних та освітніх досліджень,http://sociology.knu.ua/uk/department/navchalna-laboratoriya-sociologichnyh-ta-osvitnih-doslidzhen
Наукове товариство студентів та аспірантів,http://ntsa.univ.kiev.ua
Наукова бібліотека ім. М.Максимовича,http://www.library.univ.kiev.ua
Науково-дослідна частина ,http://science.univ.kiev.ua
Національний контактний пункт «Горизонт-2020»,http://www.nkp.univ.kiev.ua
Первинна профспілкова організація,http://www.prof.univ.kiev.ua
Планово-фінансовий відділ,http://knu.ua/ua/departments/dfp/
Психологічна служба університету,http://knu.ua/ua/departments/ps/
Рада молодих науковців,http://www.rmn.univ.kiev.ua/
Органи студентського самоврядування,http://knu.ua/ua/dep/studparlament/
Студмістечко КНУ,http://studmisto.knu.ua/
Університетська клініка,http://knu.ua/ua/departments/uc
